epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,1.542727244567871,0.44025,1.2231077926635743,0.5625
2.0,1.1168313373565675,0.600375,0.9793628222465515,0.6526
3.0,0.9209462370872498,0.673925,0.8821370637893676,0.6874
4.0,0.7887165182113648,0.721925,0.8205832816123962,0.714
5.0,0.6903736752510071,0.756625,0.7765249589920044,0.7285
6.0,0.6103203854560852,0.784325,0.7516306063652038,0.7433
7.0,0.5394033246994019,0.8091,0.750540342617035,0.7541
8.0,0.4721392680644989,0.83335,0.742979130077362,0.7544
9.0,0.41679344582557676,0.853,0.7674700541496277,0.7531
10.0,0.3666624706745148,0.8713,0.758249873828888,0.7619
11.0,0.31496515021324156,0.8883,0.8123909149169922,0.7542
12.0,0.280429954624176,0.899325,0.8328253863334656,0.7547
13.0,0.2465164305448532,0.910875,0.869233667755127,0.7589
14.0,0.2167076789855957,0.922225,0.9143301708221435,0.7622
15.0,0.19254097299575806,0.929725,0.9799342304229737,0.7578
16.0,0.17754440739154817,0.936825,0.9946764142036438,0.7603
17.0,0.16260286060571671,0.94115,1.0417475869178772,0.7598
18.0,0.15137293860912324,0.94645,1.0343018716812133,0.7621
19.0,0.1411540851712227,0.949175,1.0394499639511108,0.7647
20.0,0.13660542451143265,0.952575,1.0983032545089721,0.7627
