model,type,best_epoch,image_size,accuracy,precision_macro,recall_macro,f1_macro,loss,feature_source_model
model_1_lenet_baseline,cnn,16.0,32,0.9901,0.9899326996894187,0.990047077785196,0.9899679562559804,0.033620279386517356,
model_2_lenet_improved,cnn,22.0,32,0.9928,0.9927757610062422,0.9926995891530492,0.9927277856904497,0.02603811488953652,
model_3_resnet18_reference,cnn,4.0,224,0.9937,0.9936926573879384,0.9935735537770934,0.9936224217213079,0.020806626754812898,
model_5_full_cnn_for_hybrid_comparison,cnn,24.0,32,0.9949,0.9948495492697939,0.9948521812604797,0.9948479151816615,0.016670689026012042,
model_4_hybrid_linear_svc,hybrid_ml,,32,0.9958,0.995794624164249,0.9957571250384085,0.9957723828171805,,model_5_full_cnn_for_hybrid_comparison
