epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,1.7160058958053588,0.369075,1.486360243988037,0.4685
2.0,1.4287877902984618,0.483575,1.3596827058792114,0.5139
3.0,1.320377533531189,0.52465,1.3071592462539672,0.5335
4.0,1.2391040065765382,0.553725,1.2384263828277589,0.5559
5.0,1.1784089012145995,0.580225,1.2040100790023804,0.5731
6.0,1.112718272781372,0.603325,1.1685495965957642,0.5877
7.0,1.0649265127182006,0.61965,1.1452269002914428,0.5937
8.0,1.0256523887634277,0.6356,1.1277941088676453,0.605
9.0,0.9761554864883423,0.655275,1.0990816926002502,0.6159
10.0,0.9421046219825745,0.664575,1.0790264782905579,0.6195
11.0,0.9014842733383178,0.681175,1.0778462215423583,0.6254
12.0,0.8744679090499878,0.69005,1.0730309072494506,0.6234
13.0,0.8384774711608887,0.7058,1.0463349493026732,0.6376
14.0,0.806446066570282,0.7145,1.0746650300979614,0.6307
15.0,0.7790657695770263,0.72545,1.0640824895858765,0.634
