epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,0.3039575193929672,0.92624,0.07155042723305523,0.9792
2.0,0.08066991322040558,0.97618,0.06320653069289402,0.9819
3.0,0.06349060931444168,0.98208,0.04580793192014098,0.9872
4.0,0.055997130827903745,0.9833,0.04552725530876778,0.9864
5.0,0.04716199376821518,0.98592,0.04232529929864686,0.9878
6.0,0.04268777045786381,0.98716,0.046867829172802154,0.9878
7.0,0.039588142334222795,0.98752,0.03903568471501349,0.9893
8.0,0.035234522649049756,0.98926,0.040713607521762604,0.9884
9.0,0.03471712113529444,0.98908,0.03674259021505714,0.9893
10.0,0.031833430973291395,0.99052,0.039932212422485465,0.9888
11.0,0.030108066989779473,0.99126,0.03688218562846305,0.9892
12.0,0.025771662853062153,0.99212,0.038733868052775504,0.9891
13.0,0.027540056885182858,0.99146,0.04089710212664213,0.9881
14.0,0.02492912461668253,0.99234,0.035847785523056515,0.9903
15.0,0.02279760052204132,0.99284,0.04052305546781572,0.9887
16.0,0.023217762174606322,0.99292,0.036242333250213414,0.9899
17.0,0.022687175259888174,0.99286,0.032865424872329456,0.9915
18.0,0.021442274730205536,0.99286,0.03435563960232539,0.9904
19.0,0.02049447458282113,0.99418,0.03418046074863814,0.9909
20.0,0.020416629068553446,0.99322,0.041149854264018355,0.9896
21.0,0.01926111891359091,0.99406,0.03354374177963473,0.9906
22.0,0.017420725451260805,0.99474,0.03358890247691452,0.9922
23.0,0.016747774182856084,0.99482,0.03464870397035556,0.9907
24.0,0.017968202940002082,0.99478,0.03717766365881544,0.99
